route_id,avg_stops,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
04250625-11,16.0,GO,11,Brock University,3,98002e,FFFFFF
04250625-12,7.775862068965517,GO,12,Niagara Falls / Toronto,3,98002e,FFFFFF
04250625-15,11.592592592592593,GO,15,Brantford / Aldershot,3,98002e,FFFFFF
04250625-16,10.0,GO,16,Hamilton / Toronto Express,3,98002e,FFFFFF
04250625-17,27.0,GO,17,Waterloo / Hamilton,3,f78025,000000
04250625-18,13.956521739130435,GO,18,Lakeshore West,3,98002e,FFFFFF
04250625-19,15.5,GO,19,Mississauga / North York,3,f57f25,000000
04250625-21,26.012820512820515,GO,21,Milton,3,f57f25,000000
04250625-22,23.0,GO,22,Milton / Oakville,3,f78025,000000
04250625-25,8.29889298892989,GO,25,Waterloo / Mississauga,3,f57f25,000000
04250625-27,33.54296875,GO,27,Milton / North York,3,f57f25,000000
04250625-29,17.263157894736842,GO,29,Guelph / Mississauga,3,00853e,FFFFFF
04250625-30,8.271966527196653,GO,30,Kitchener / Bramalea,3,00853e,FFFFFF
04250625-31,35.22222222222222,GO,31,Guelph / Toronto,3,00853e,FFFFFF
04250625-32,16.148936170212767,GO,32,Brampton Trinity Common / North York,3,00853e,FFFFFF
04250625-33,31.43661971830986,GO,33,Guelph / North York,3,00853e,FFFFFF
04250625-36,8.485714285714286,GO,36,Brampton / North York Express,3,00853e,FFFFFF
04250625-37,30.142857142857142,GO,37,Orangeville / Brampton,3,00853e,FFFFFF
04250625-38,19.0,GO,38,Bolton / Malton,3,00853e,FFFFFF
04250625-40,19.0,GO,40,Hamilton / Richmond Hill,3,a11984,FFFFFF
04250625-41,21.557971014492754,GO,41,Hamilton / Pickering,3,a21984,FFFFFF
04250625-47,10.115384615384615,GO,47,Hamilton / Hwy 407 Terminal,3,a21984,FFFFFF
04250625-48,31.515151515151516,GO,48,Guelph / Hwy 407 Terminal,3,a21884,FFFFFF
04250625-54,17.0,GO,54,Markham / Hwy 407 Terminal,3,6f298d,FFFFFF
04250625-56,28.876712328767123,GO,56,Oshawa / Oakville,3,6f298d,FFFFFF
04250625-61,22.625,GO,61,Richmond Hill,3,0099c7,FFFFFF
04250625-65,15.416666666666666,GO,65,Newmarket / Toronto,3,003767,FFFFFF
04250625-66,10.5,GO,66,East Gwillimbury / Hwy 407 Terminal,3,003767,FFFFFF
04250625-67,15.285714285714286,GO,67,Keswick / North York,3,003767,FFFFFF
04250625-68,36.166666666666664,GO,68,Barrie / Newmarket,3,003767,FFFFFF
04250625-70,23.941176470588236,GO,70,Uxbridge / Mount Joy,3,794500,FFFFFF
04250625-71,33.0,GO,71,Stouffville,3,794500,FFFFFF
04250625-88,24.869565217391305,GO,88,Peterborough / Oshawa,3,ff0d00,FFFFFF
04250625-90,7.0,GO,90,Lakeshore East,3,ff0d00,FFFFFF
04250625-92,24.511111111111113,GO,92,Oshawa / Yorkdale,3,ff0d00,FFFFFF
04250625-94,15.0,GO,94,Pickering / Square One,3,a21884,FFFFFF
04250625-96,15.030674846625766,GO,96,Oshawa / Finch Express,3,ff0d00,FFFFFF
04250625-BR,9.0,GO,BR,Barrie,2,003767,FFFFFF
04250625-GT,7.092105263157895,GO,KI,Kitchener,2,00853e,FFFFFF
04250625-LE,9.987864077669903,GO,LE,Lakeshore East,2,ff0d00,FFFFFF
04250625-LW,10.303719008264462,GO,LW,Lakeshore West,2,98002e,FFFFFF
04250625-MI,9.0,GO,MI,Milton,2,f57f25,FFFFFF
04250625-RH,7.0,GO,RH,Richmond Hill,2,0099c7,FFFFFF
04250625-ST,8.8,GO,ST,Stouffville,2,794500,FFFFFF
06250825-11,15.0,GO,11,Brock University,3,98002e,FFFFFF
06250825-12,7.603808033385498,GO,12,Niagara Falls / Toronto,3,98002e,FFFFFF
06250825-15,11.728468113083498,GO,15,Brantford / Aldershot,3,98002e,FFFFFF
06250825-16,8.982440737489025,GO,16,Hamilton / Toronto Express,3,98002e,FFFFFF
06250825-17,23.88856304985337,GO,17,Waterloo / Hamilton,3,f78025,000000
06250825-18,13.690079652425778,GO,18,Lakeshore West,3,98002e,FFFFFF
06250825-19,15.49152063312606,GO,19,Mississauga / North York,3,f57f25,000000
06250825-21,25.682382615444315,GO,21,Milton,3,f57f25,000000
06250825-22,23.0,GO,22,Milton / Oakville,3,f78025,000000
06250825-25,8.20288692862871,GO,25,Waterloo / Mississauga,3,f57f25,000000
06250825-27,30.614335664335666,GO,27,Milton / North York,3,f57f25,000000
06250825-29,17.470536499560247,GO,29,Guelph / Mississauga,3,00853e,FFFFFF
06250825-30,7.932683790965456,GO,30,Kitchener / Bramalea,3,00853e,FFFFFF
06250825-31,31.1508078994614,GO,31,Guelph / Toronto,3,00853e,FFFFFF
06250825-32,16.148936170212767,GO,32,Brampton Trinity Common / North York,3,00853e,FFFFFF
06250825-33,33.12154853401651,GO,33,Guelph / North York,3,00853e,FFFFFF
06250825-35,2.0,GO,35,Brampton / Humber College / North York,3,00a6ff,FFFFFF
06250825-36,8.497181964573269,GO,36,Brampton / North York Express,3,00853e,FFFFFF
06250825-37,30.142857142857142,GO,37,Orangeville / Brampton,3,00853e,FFFFFF
06250825-38,19.0,GO,38,Bolton / Malton,3,00853e,FFFFFF
06250825-40,18.0,GO,40,Hamilton / Richmond Hill,3,a11984,FFFFFF
06250825-41,21.079710144927535,GO,41,Hamilton / Pickering,3,a21984,FFFFFF
06250825-47,14.010722795869738,GO,47,Hamilton / Hwy 407 Terminal,3,a21984,FFFFFF
06250825-48,31.515151515151516,GO,48,Guelph / Hwy 407 Terminal,3,a21884,FFFFFF
06250825-52,17.115384615384617,GO,52,Oshawa / Hwy 407 Terminal,3,6f298d,FFFFFF
06250825-54,17.0,GO,54,Markham / Hwy 407 Terminal,3,6f298d,FFFFFF
06250825-56,28.876712328767123,GO,56,Oshawa / Oakville,3,6f298d,FFFFFF
06250825-61,22.625,GO,61,Richmond Hill,3,0099c7,FFFFFF
06250825-65,15.68815592203898,GO,65,Newmarket / Toronto,3,003767,FFFFFF
06250825-66,10.5,GO,66,East Gwillimbury / Hwy 407 Terminal,3,003767,FFFFFF
06250825-67,15.285714285714286,GO,67,Keswick / North York,3,003767,FFFFFF
06250825-68,36.93460764587525,GO,68,Barrie / Newmarket,3,003767,FFFFFF
06250825-70,24.09408341416101,GO,70,Uxbridge / Mount Joy,3,794500,FFFFFF
06250825-71,28.957232704402514,GO,71,Stouffville,3,794500,FFFFFF
06250825-88,22.95031490552834,GO,88,Peterborough / Oshawa,3,ff0d00,FFFFFF
06250825-90,7.0,GO,90,Lakeshore East,3,ff0d00,FFFFFF
06250825-92,24.899051233396584,GO,92,Oshawa / Yorkdale,3,ff0d00,FFFFFF
06250825-94,15.0,GO,94,Pickering / Square One,3,a21884,FFFFFF
06250825-96,15.235513024986709,GO,96,Oshawa / Finch Express,3,ff0d00,FFFFFF
06250825-BR,8.730439172135286,GO,BR,Barrie,2,003767,FFFFFF
06250825-GT,7.077935222672065,GO,KI,Kitchener,2,00853e,FFFFFF
06250825-LE,9.991983967935871,GO,LE,Lakeshore East,2,ff0d00,FFFFFF
06250825-LW,10.186628186628187,GO,LW,Lakeshore West,2,98002e,FFFFFF
06250825-MI,9.0,GO,MI,Milton,2,f57f25,FFFFFF
06250825-RH,7.0,GO,RH,Richmond Hill,2,0099c7,FFFFFF
06250825-ST,8.700829673011224,GO,ST,Stouffville,2,794500,FFFFFF
