service_id,date,exception_type,weekday
20250627,2025-06-27,1,Friday
20250626,2025-06-26,1,Thursday
20250625,2025-06-25,1,Wednesday
20250624,2025-06-24,1,Tuesday
20250623,2025-06-23,1,Monday
20250829,2025-08-29,1,Friday
20250828,2025-08-28,1,Thursday
20250827,2025-08-27,1,Wednesday
20250826,2025-08-26,1,Tuesday
20250825,2025-08-25,1,Monday
20250816,2025-08-16,1,Saturday
20250815,2025-08-15,1,Friday
20250814,2025-08-14,1,Thursday
20250813,2025-08-13,1,Wednesday
20250812,2025-08-12,1,Tuesday
20250811,2025-08-11,1,Monday
20250810,2025-08-10,1,Sunday
20250809,2025-08-09,1,Saturday
20250804,2025-08-04,1,Monday
20250803,2025-08-03,1,Sunday
20250802,2025-08-02,1,Saturday
20250801,2025-08-01,1,Friday
20250727,2025-07-27,1,Sunday
20250726,2025-07-26,1,Saturday
20250725,2025-07-25,1,Friday
20250724,2025-07-24,1,Thursday
20250719,2025-07-19,1,Saturday
20250718,2025-07-18,1,Friday
20250717,2025-07-17,1,Thursday
20250716,2025-07-16,1,Wednesday
20250713,2025-07-13,1,Sunday
20250712,2025-07-12,1,Saturday
20250709,2025-07-09,1,Wednesday
20250708,2025-07-08,1,Tuesday
20250705,2025-07-05,1,Saturday
20250704,2025-07-04,1,Friday
20250702,2025-07-02,1,Wednesday
20250701,2025-07-01,1,Tuesday
20250628,2025-06-28,1,Saturday
20250824,2025-08-24,1,Sunday
20250823,2025-08-23,1,Saturday
20250822,2025-08-22,1,Friday
20250821,2025-08-21,1,Thursday
20250820,2025-08-20,1,Wednesday
20250819,2025-08-19,1,Tuesday
20250818,2025-08-18,1,Monday
20250817,2025-08-17,1,Sunday
20250808,2025-08-08,1,Friday
20250807,2025-08-07,1,Thursday
20250806,2025-08-06,1,Wednesday
20250805,2025-08-05,1,Tuesday
20250731,2025-07-31,1,Thursday
20250730,2025-07-30,1,Wednesday
20250729,2025-07-29,1,Tuesday
20250728,2025-07-28,1,Monday
20250723,2025-07-23,1,Wednesday
20250722,2025-07-22,1,Tuesday
20250721,2025-07-21,1,Monday
20250720,2025-07-20,1,Sunday
20250715,2025-07-15,1,Tuesday
20250714,2025-07-14,1,Monday
20250711,2025-07-11,1,Friday
20250710,2025-07-10,1,Thursday
20250707,2025-07-07,1,Monday
20250706,2025-07-06,1,Sunday
20250703,2025-07-03,1,Thursday
20250630,2025-06-30,1,Monday
20250629,2025-06-29,1,Sunday
