stop_id,stop_name,stop_lat,stop_lon
WR,West Harbour GO,43.266775,-79.866222
WH,Whitby GO,43.86484,-78.93818
WE,Weston GO,43.70022,-79.514671
UN,Union Station,43.645195,-79.3806
UI,Unionville GO,43.851689,-79.314332
ST,Stouffville GO,43.970924,-79.249989
SR,Streetsville GO,43.575584,-79.70882
SCTH,St. Catharines GO,43.1476135,-79.2549057
SC,Scarborough GO,43.716945,-79.254722
RU,Rutherford GO,43.838487,-79.498819
RO,Rouge Hill GO,43.780375,-79.130646
RI,Richmond Hill GO,43.874307,-79.426167
PO,Port Credit GO,43.555999,-79.586881
PIN,Pickering GO,43.831576,-79.084594
PA,Pearson Airport Terminal 1,43.6821671,-79.6132584
OS,Durham College Oshawa GO,43.871004,-78.884807
OR,Oriole GO,43.765518,-79.364275
OL,Old Cummer GO,43.793703,-79.371403
OA,Oakville GO,43.455594,-79.682242
NI,Niagara Falls GO,43.108882,-79.063319
NE,Newmarket GO,44.060426,-79.459289
MR,Markham GO,43.882691,-79.262469
MP,Maple GO,43.859481,-79.506984
MO,Mount Pleasant GO,43.6749763,-79.8221817
ML,Milton GO,43.52364,-79.867172
MK,Milliken GO,43.823227,-79.301785
MJ,Mount Joy GO,43.900521,-79.26313
MI,Mimico GO,43.616411,-79.497762
ME,Meadowvale GO,43.597566,-79.754328
MA,Malton GO,43.705153,-79.63823
LS,Lisgar GO,43.590791,-79.788539
LO,Long Branch GO,43.591317,-79.546149
LI,Old Elm GO,43.990395,-79.237098
LA,Langstaff GO,43.838546,-79.423139
KP,Kipling GO,43.636955,-79.536287
KI,Kitchener GO,43.455686,-80.49313
KE,Kennedy GO,43.733045,-79.262706
KC,King City GO,43.920037,-79.526886
HA,Hamilton GO Centre,43.253284,-79.869192
GU,Guildwood GO,43.755272,-79.198252
GO,Gormley GO,43.941617,-79.399033
GL,Guelph Central GO,43.544353,-80.246917
GE,Georgetown GO,43.655373,-79.919054
EX,Exhibition GO,43.635549,-79.418927
ET,Etobicoke North GO,43.706172,-79.563506
ER,Erindale GO,43.567235,-79.668506
EG,Eglinton GO,43.739621,-79.23231
EA,East Gwillimbury GO,44.077996,-79.455776
DW,Downsview Park GO,43.7536333,-79.47835
DI,Dixie GO,43.608022,-79.577762
DA,Danforth GO,43.686462,-79.300358
CO,Cooksville GO,43.582973,-79.623695
CL,Clarkson GO,43.513127,-79.633206
CE,Centennial GO,43.873601,-79.289211
BU,Burlington GO,43.341265,-79.809141
BR,Brampton Innovation District GO,43.6869087,-79.7628632
