stop_id,stop_name,stop_lat,stop_lon,shelter,washroom,bike_rack,bench
WR,West Harbour GO,43.266775,-79.866222,0.0,1.0,1.0,0.0
WH,Whitby GO,43.86484,-78.93818,1.0,1.0,1.0,0.0
WE,Weston GO,43.70022,-79.514671,0.0,1.0,1.0,0.0
UN,Union Station,43.645195,-79.3806,0.0,1.0,1.0,1.0
UI,Unionville GO,43.851689,-79.314332,1.0,1.0,1.0,0.0
ST,Stouffville GO,43.970924,-79.249989,1.0,0.0,1.0,0.0
SR,Streetsville GO,43.575584,-79.70882,1.0,1.0,1.0,0.0
SCTH,St. Catharines GO,43.1476135,-79.2549057,1.0,0.0,1.0,0.0
SC,Scarborough GO,43.716945,-79.254722,1.0,1.0,1.0,0.0
RU,Rutherford GO,43.838487,-79.498819,1.0,1.0,1.0,0.0
RO,Rouge Hill GO,43.780375,-79.130646,1.0,1.0,1.0,0.0
RI,Richmond Hill GO,43.874307,-79.426167,1.0,1.0,1.0,0.0
PO,Port Credit GO,43.555999,-79.586881,1.0,1.0,1.0,0.0
PIN,Pickering GO,43.831576,-79.084594,1.0,1.0,1.0,0.0
PA,Pearson Airport Terminal 1,43.6821671,-79.6132584,0.0,0.0,0.0,0.0
OS,Durham College Oshawa GO,43.871004,-78.884807,1.0,1.0,1.0,0.0
OR,Oriole GO,43.765518,-79.364275,1.0,0.0,1.0,0.0
OL,Old Cummer GO,43.793703,-79.371403,1.0,1.0,1.0,0.0
OA,Oakville GO,43.455594,-79.682242,1.0,1.0,1.0,0.0
NI,Niagara Falls GO,43.108882,-79.063319,0.0,1.0,1.0,0.0
NE,Newmarket GO,44.060426,-79.459289,1.0,0.0,1.0,0.0
MR,Markham GO,43.882691,-79.262469,1.0,1.0,1.0,0.0
MP,Maple GO,43.859481,-79.506984,1.0,1.0,1.0,0.0
MO,Mount Pleasant GO,43.6749763,-79.8221817,1.0,1.0,1.0,0.0
ML,Milton GO,43.52364,-79.867172,1.0,1.0,1.0,0.0
MK,Milliken GO,43.823227,-79.301785,1.0,1.0,1.0,0.0
MJ,Mount Joy GO,43.900521,-79.26313,1.0,1.0,1.0,0.0
MI,Mimico GO,43.616411,-79.497762,1.0,1.0,1.0,0.0
ME,Meadowvale GO,43.597566,-79.754328,1.0,1.0,1.0,0.0
MA,Malton GO,43.705153,-79.63823,1.0,1.0,1.0,0.0
LS,Lisgar GO,43.590791,-79.788539,0.0,1.0,1.0,0.0
LO,Long Branch GO,43.591317,-79.546149,1.0,1.0,1.0,0.0
LI,Old Elm GO,43.990395,-79.237098,1.0,0.0,1.0,0.0
LA,Langstaff GO,43.838546,-79.423139,1.0,1.0,1.0,0.0
KP,Kipling GO,43.636955,-79.536287,1.0,1.0,0.0,0.0
KI,Kitchener GO,43.455686,-80.49313,1.0,1.0,1.0,0.0
KE,Kennedy GO,43.733045,-79.262706,1.0,0.0,1.0,0.0
KC,King City GO,43.920037,-79.526886,1.0,1.0,1.0,0.0
HA,Hamilton GO Centre,43.253284,-79.869192,1.0,1.0,1.0,0.0
GU,Guildwood GO,43.755272,-79.198252,1.0,1.0,1.0,0.0
GO,Gormley GO,43.941617,-79.399033,1.0,1.0,1.0,0.0
GL,Guelph Central GO,43.544353,-80.246917,1.0,1.0,1.0,0.0
GE,Georgetown GO,43.655373,-79.919054,1.0,1.0,1.0,0.0
EX,Exhibition GO,43.635549,-79.418927,1.0,0.0,1.0,0.0
ET,Etobicoke North GO,43.706172,-79.563506,1.0,1.0,1.0,0.0
ER,Erindale GO,43.567235,-79.668506,1.0,1.0,1.0,0.0
EG,Eglinton GO,43.739621,-79.23231,1.0,1.0,1.0,0.0
EA,East Gwillimbury GO,44.077996,-79.455776,1.0,1.0,1.0,0.0
DW,Downsview Park GO,43.7536333,-79.47835,1.0,0.0,1.0,0.0
DI,Dixie GO,43.608022,-79.577762,1.0,1.0,1.0,0.0
DA,Danforth GO,43.686462,-79.300358,1.0,1.0,1.0,0.0
CO,Cooksville GO,43.582973,-79.623695,0.0,0.0,1.0,0.0
CL,Clarkson GO,43.513127,-79.633206,1.0,1.0,1.0,0.0
CE,Centennial GO,43.873601,-79.289211,1.0,0.0,1.0,0.0
BU,Burlington GO,43.341265,-79.809141,1.0,1.0,1.0,0.0
BR,Brampton Innovation District GO,43.6869087,-79.7628632,1.0,1.0,1.0,0.0
BO,Bronte GO,43.416774,-79.722294,1.0,1.0,1.0,0.0
BM,Bloomington GO,43.975949,-79.397258,1.0,1.0,1.0,1.0
BL,Bloor GO,43.656928,-79.450192,1.0,1.0,1.0,1.0
BE,Bramalea GO,43.7022591,-79.6887512,1.0,1.0,1.0,0.0
BD,Bradford GO,44.116513,-79.555394,1.0,1.0,1.0,0.0
BA,Barrie South GO,44.35112,-79.627441,1.0,1.0,1.0,0.0
AU,Aurora GO,44.000758,-79.459725,1.0,1.0,1.0,0.0
AP,Appleby GO,43.379429,-79.760991,1.0,1.0,1.0,0.0
AL,Aldershot GO,43.313385,-79.855659,1.0,1.0,1.0,0.0
AJ,Ajax GO,43.847766,-79.041372,1.0,1.0,1.0,0.0
AG,Agincourt GO,43.78611,-79.284385,1.0,1.0,0.0,0.0
AD,Allandale Waterfront GO,44.374139,-79.687858,0.0,0.0,1.0,0.0
AC,Acton GO,43.6338043,-80.034111,1.0,0.0,1.0,0.0
08048,St. Catharines Downtown Terminal,43.1607860239228,-79.2432895817443,0.0,0.0,0.0,0.0
08047,New Credit Variety & Gas Bar,42.9767059850247,-80.0373990879198,,,,
08046,50 Generations Dr. (Oneida Business Park),43.0272655947838,-79.9978677699124,,,,
08045,Old Elm GO Bus,43.9899019821539,-79.2374567924724,0.0,0.0,0.0,0.0
08044,Bramalea GO Bus,43.702269,-79.690011,0.0,0.0,0.0,0.0
08043,Cornell Bus Terminal,43.879761,-79.232535,0.0,0.0,0.0,0.0
08042,Bramalea GO Bus,43.702269,-79.690111,0.0,0.0,0.0,0.0
08041,Bramalea GO Bus,43.702269,-79.69011,0.0,0.0,0.0,0.0
08032,Bramalea Bus Terminal,43.7186356,-79.7205734,0.0,0.0,1.0,0.0
02866,4th Line @ Chiefswood Rd.,43.0682633088754,-80.1169291725398,,,,
02865,Chiefswood Rd. @ 4th Line,43.0678643358192,-80.1186740468311,,,,
02864,Durham Hwy. 2 @ Browview Rd.,43.9131217980881,-78.6218225259608,,,,
02863,Durham Hwy. 2 @ Bowmanville Ave.,43.9115795382994,-78.7008794862316,0.0,0.0,0.0,0.0
02862,Durham Hwy. 2 @ Bowmanville Ave.,43.91091788908,-78.7031217545171,0.0,0.0,0.0,0.0
02861,Bovaird Dr. W. @ Mississauga Rd.,43.6675885360206,-79.8288531489574,0.0,0.0,0.0,0.0
02860,Keele St. @ Barhill Rd.,43.8507335913209,-79.511543431514,,,,
02855,50 Generations Dr. (Oneida Business Park),43.0272655947838,-79.9978677699124,,,,
02854,Six Nations Sports & Cultural Memorial Centre,43.0699561963629,-80.1221912675896,,,,
02853,Sour Springs Rd. @ Chiefswood Rd.,43.0360932262248,-80.1403524632348,,,,
02852,Chiefswood Rd. @ Sour Springs Rd.,43.0362835050571,-80.138712213684,,,,
02851,Sour Springs Rd. @ Mohawk Rd.,43.0552607806868,-80.193617691558,,,,
02850,Sour Springs Rd. @ Mohawk Rd.,43.0554102667635,-80.1934904804657,,,,
02849,Woodlawn Rd. W. @ Regal Rd.,43.5487925525194,-80.2996385624222,,,,
02848,Woodlawn Rd. W. @ Regal Rd.,43.5487200063601,-80.2999959281198,0.0,0.0,0.0,0.0
02847,Thomas St. @ Highbank Rd.,43.571390698523,-79.7207524673365,0.0,0.0,0.0,0.0
02846,Toronto St. @ Elgin Park Dr.,44.0977670588629,-79.1280365027131,0.0,0.0,0.0,0.0
02845,Gordon St. @ Clair Rd. W.,43.5020608534142,-80.1915893520694,0.0,0.0,0.0,0.0
02843,Rathburn Rd. W. @ Mavis Rd.,43.5821728098426,-79.6559157889272,0.0,0.0,0.0,0.0
02839,Simcoe St. N. @ Richmond St. E.,43.8990287511044,-78.864162144326,0.0,0.0,0.0,0.0
02838,Sheppard Ave. E. @ Herons Hill Way,43.7754648931527,-79.3354883868647,0.0,0.0,0.0,0.0
02837,Sheppard Ave. E. @ Herons Hill Way,43.7757323805573,-79.335555520699,0.0,0.0,0.0,0.0
02836,Allandale Waterfront GO Bus,44.373363,-79.691343,,,,
02835,Allandale Waterfront GO Bus,44.373273,-79.691063,0.0,0.0,0.0,0.0
02834,Hwy. 48 @ 19th Ave.,43.945923,-79.278093,0.0,0.0,0.0,0.0
02831,Bradford GO Bus,44.115842,-79.556401,0.0,0.0,0.0,0.0
02830,Old Elm GO Bus,43.9899019629206,-79.2374555459893,0.0,0.0,0.0,0.0
02829,Yonge St. @ John St.,43.814391,-79.424193,0.0,0.0,0.0,0.0
02828,Barrie Transit Terminal,44.387438,-79.690317,0.0,0.0,0.0,0.0
02821,Yonge St. @ Poyntz Ave.,43.760053363685,-79.4107512589806,0.0,0.0,0.0,0.0
02820,Major Mackenzie West Bus Terminal (Canada's Wonderland),43.8472741648348,-79.5415471504326,0.0,0.0,0.0,0.0
02819,Victoria St. N. @ Frederick St.,43.4661769073305,-80.4573893890337,0.0,0.0,0.0,0.0
02818,Victoria St. N. @ Frederick St.,43.4663507673236,-80.4579750554575,0.0,0.0,0.0,0.0
02816,Scarborough Centre Bus Terminal,43.77486,-79.26088,1.0,0.0,0.0,0.0
02815,Cornell Bus Terminal,43.879742,-79.232527,0.0,0.0,0.0,0.0
02812,Steeles Ave. @ Trafalgar Rd. (Toronto Premium Outlets),43.5743597133588,-79.8346358454101,0.0,0.0,0.0,0.0
02811,Steeles Ave. @ Trafalgar Rd. (Toronto Premium Outlets),43.5738830213569,-79.8356593239271,0.0,0.0,0.0,0.0
02809,Guelph St. @ Mountainview Rd. S.,43.650131,-79.902022,0.0,0.0,0.0,0.0
02808,Main St. S. @ MacLennan St.,43.608965,-80.130286,0.0,0.0,0.0,0.0
02807,Guelph St. W. @ Lakeview Ave.,43.632898,-80.05002,0.0,0.0,0.0,0.0
02806,Tenth Ln. @ Main St.,43.975499,-79.231476,0.0,0.0,0.0,0.0
02804,Main St. N. @ Henry St.,43.65194,-79.92927,0.0,0.0,0.0,0.0
02803,Main St. N. @ George St.,43.651519,-79.928908,0.0,0.0,0.0,0.0
02802,Moutainview Rd. N. @ Maple Ave.,43.654996,-79.909971,0.0,0.0,0.0,0.0
02801,Maple Ave. @ Mountainview Rd. N.,43.655002,-79.911197,0.0,0.0,0.0,0.0
02800,University of Waterloo Terminal,43.474444,-80.540546,0.0,0.0,0.0,0.0
02799,University of Waterloo Terminal,43.474393,-80.539507,0.0,0.0,0.0,0.0
02787,Simcoe St. N. @ Windfields Farm Dr.,43.963642295078,-78.9029293914662,0.0,0.0,0.0,0.0
02786,Trafalgar Rd. @ Rosegate Way,43.482746,-79.713083,0.0,0.0,0.0,0.0
02785,Trafalgar Rd. @ Glenashton Dr.,43.480786,-79.709716,0.0,0.0,0.0,0.0
02784,Trafalgar Rd. @ Briarhall Gate,43.477566,-79.705312,0.0,0.0,0.0,0.0
02783,Trafalgar Rd. @ Upper Middle Rd. E.,43.475362,-79.702112,0.0,0.0,0.0,0.0
02782,Simcoe St. N. @ Windfields Farm Dr.,43.963039,-78.902909,0.0,0.0,0.0,0.0
02781,Simcoe St. N. @ Britannia Ave.,43.955632,-78.899736,0.0,0.0,0.0,0.0
02780,Brock University,43.118136,-79.249325,0.0,0.0,0.0,0.0
02779,Baldwin St. @ Hwy. 407 Park & Ride,43.9449147110778,-78.9599680461866,0.0,0.0,0.0,0.0
02778,Kipling Bus Terminal,43.635688,-79.538441,0.0,0.0,0.0,0.0
02776,Toronto Zoo,43.8196889741776,-79.1796790788481,0.0,0.0,0.0,0.0
02775,Port Credit GO,43.555598,-79.587457,0.0,0.0,0.0,0.0
02772,Yonge St. @ Sheppard Ave.,43.762187996328,-79.4109345055581,0.0,0.0,0.0,0.0
02771,Yonge St. @ Hwy. 407,43.8384664250903,-79.4293096916894,0.0,0.0,0.0,0.0
02768,Yonge St. @ Westwood Ln.,43.8445789374929,-79.4312068959128,0.0,0.0,0.0,0.0
02767,Bloomington GO,43.975523,-79.396884,1.0,1.0,1.0,1.0
02766,Trafalgar Rd. @ McCraney St. E.,43.466272,-79.690048,0.0,0.0,0.0,0.0
02765,Trafalgar Rd. @ Upper Middle Rd. E.,43.474533,-79.701471,0.0,0.0,0.0,0.0
02764,Trafalgar Rd. @ River Oaks Blvd. E.,43.47697,-79.70504,0.0,0.0,0.0,0.0
02763,Trafalgar Rd. @ Glenashton Dr.,43.48015,-79.709384,0.0,0.0,0.0,0.0
02759,King St. W. @ Queen St. N.,43.25943,-79.878547,0.0,0.0,0.0,0.0
02758,Hwy. 47 @ Paisley Ln.,44.0177983588276,-79.2319480136823,,,,
02757,Consumers Rd. @ William Sylvester Dr.,43.770562,-79.330273,0.0,0.0,0.0,0.0
02756,Consumers Rd. @ William Sylvester Dr.,43.770398,-79.33023,0.0,0.0,0.0,0.0
02752,Cooksville GO Bus,43.5822961767171,-79.6245055812486,0.0,0.0,0.0,0.0
02751,Cooksville GO Bus,43.582296,-79.624506,0.0,0.0,0.0,0.0
02750,Main St. S. @ Clarence St.,43.6803567961439,-79.7526657450494,0.0,0.0,0.0,0.0
02749,Simcoe St. S. @ Athol St. E.,43.896376,-78.862941,0.0,0.0,0.0,0.0
02748,Centre St. S. @ Athol St. W.,43.89617,-78.865335,0.0,0.0,0.0,0.0
02746,Main St. S. @ Nanwood Dr.,43.676796,-79.747726,0.0,0.0,0.0,0.0
02745,Main St. N. @ Williams Pkwy.,43.6983315029567,-79.7768451099263,0.0,0.0,0.0,0.0
02744,Yonge St. @ Little Ave.,44.36632,-79.662611,0.0,0.0,0.0,0.0
02743,Green Lane E. @ Yonge St.,44.073514,-79.481434,0.0,0.0,0.0,0.0
02742,Prospect St. @ Davis Dr.,44.05972,-79.453897,0.0,0.0,0.0,0.0
02741,Davis Dr. @ Prospect St.,44.060566,-79.454395,0.0,0.0,0.0,0.0
02739,Rathburn Rd. W. @ Perivale Rd.,43.575505,-79.664227,0.0,0.0,0.0,0.0
02738,Rathburn Rd. W. @ Perivale Rd.,43.575855,-79.664277,0.0,0.0,0.0,0.0
02737,Derry Rd. @ Sauve St.,43.524441,-79.842406,0.0,0.0,0.0,0.0
02736,Derry Rd. @ Sauve St.,43.523968,-79.842312,0.0,0.0,0.0,0.0
02732,Davis Dr. W. @ Eagle St. W.,44.053908,-79.485428,0.0,0.0,0.0,0.0
02731,Davis Dr. W. @ Eagle St. W.,44.053617,-79.485558,0.0,0.0,0.0,0.0
02730,Centennial Pkwy N. @ QEW (Confederation) Park & Ride,43.2425830614163,-79.7599571072281,0.0,0.0,0.0,0.0
02728,Bramalea GO Bus,43.702269,-79.690111,0.0,0.0,0.0,0.0
02726,Bayview Ave. @ River Ridge Blvd.,44.009295,-79.444537,0.0,0.0,0.0,0.0
02725,Bayview Ave. @ River Ridge Blvd.,44.009748,-79.445043,0.0,0.0,0.0,0.0
02722,Main St. @ Mill St. E.,43.6301210479395,-80.0419071434871,0.0,0.0,0.0,0.0
02721,Gordon St. @ Stone Rd.,43.5272921676036,-80.2256214441709,0.0,0.0,0.0,0.0
02720,Elizabeth St. @ Victoria Rd.,43.5552971023133,-80.2303018528565,0.0,0.0,0.0,0.0
02719,York St. @ 800 York St.,43.5584831140902,-80.2149901373342,0.0,0.0,0.0,0.0
02718,Gordon St. @ Kortright Rd.,43.5224020262207,-80.2134931638836,0.0,0.0,0.0,0.0
02717,Gordon St. @ Clairfields Dr. E.,43.5057636408486,-80.1943022849076,0.0,0.0,0.0,0.0
02716,Courtice Rd. @ Baseline Rd. Park & Ride,43.8860800890398,-78.7688846365461,0.0,0.0,0.0,0.0
02715,First Ave. @ Front St. Park & Ride,43.884898,-78.85374,0.0,0.0,0.0,0.0
02714,First Ave. @ Front St. Park & Ride,43.885019,-78.854257,0.0,0.0,0.0,0.0
02712,Bovaird Dr. W. @ McLaughlin Rd. N.,43.6957585266119,-79.7981796900374,0.0,0.0,0.0,0.0
02711,Major Mackenzie Dr. E. @ Hwy. 404,43.8827011632664,-79.3803716525566,0.0,0.0,0.0,0.0
02710,Major Mackenzie Dr. E. @ Hwy. 404,43.8827741694863,-79.3804406287544,0.0,0.0,0.0,0.0
02709,Yonge St. @ Finch Ave.,43.7808519429722,-79.416002462366,0.0,0.0,0.0,0.0
02708,Hwy. 50 @ Castlemore Rd.,43.8022027763583,-79.6689430530202,0.0,0.0,0.0,0.0
02706,Yonge St. @ Queen St.,44.0955808817404,-79.4901815817581,0.0,0.0,0.0,0.0
02702,Kingston Rd. @ Westney Rd.,43.857678667214,-79.0409885998896,0.0,0.0,0.0,0.0
02700,Trafalgar Rd. @ Dundas St.,43.4879119435482,-79.7199831176779,,,,
02699,Hwy. 10 @ Travelled Rd.,43.8573969935826,-79.9922485935605,,,,
02698,Victoria St. E. @ S. Blair St,43.8654558761237,-78.9209973861173,,,,
02697,Victoria St. E. @ S. Blair St.,43.8653472462941,-78.9209650743573,,,,
02696,Guelph St. @ Hall Rd.,43.6486902942995,-79.8765444720472,0.0,0.0,0.0,0.0
02694,Bayview Ave. @ St. John's Sideroad,44.023461599752,-79.4476920600681,0.0,0.0,0.0,0.0
02693,Bayview Ave. @ St. John's Sideroad,44.0237239494145,-79.4481818236578,0.0,0.0,0.0,0.0
02692,Bayview Ave. @ Mulock Dr.,44.0410444955981,-79.4517586529434,0.0,0.0,0.0,0.0
02691,Bayview Ave. @ Mulock Dr.,44.0414415652058,-79.4521589476021,0.0,0.0,0.0,0.0
02690,Prospect St. @ Pearson St.,44.0493428055643,-79.4528843805226,0.0,0.0,0.0,0.0
02689,Prospect St. @ Pearson St.,44.0496186238697,-79.453040727793,0.0,0.0,0.0,0.0
02688,Burton Ave. @ Granville St.,44.3716585556774,-79.6905053283273,0.0,0.0,0.0,0.0
02687,Burton Ave. @ Granville St.,44.3716444485243,-79.6911595701255,0.0,0.0,0.0,0.0
02684,Simcoe St. @ Britannia Ave.,43.9558385161942,-78.8994952290358,0.0,0.0,0.0,0.0
02683,Green Lane E. @ Yonge St.,44.073913,-79.481138,,,,
02682,Queen St. @ Mill St.,43.8809995812407,-79.7400896488493,,,,
02681,Queen St. @ Hickman St.,43.881289458911,-79.7407395455473,,,,
02680,Bramalea Rd. @ Balmoral Dr.,43.7154679735916,-79.7054676815027,0.0,0.0,0.0,0.0
02677,Gordon St. @ Clair Rd. E.,43.5002316951943,-80.1886650066085,0.0,0.0,0.0,0.0
02676,Dundas St. @ Halls Rd.,43.8710634547294,-78.9813988024596,,,,
02675,Dundas St. @ Halls Rd.,43.8713052332062,-78.981120567689,0.0,0.0,0.0,0.0
02674,Hwy 407 Bus Terminal,43.7830713234851,-79.5244458372792,0.0,1.0,0.0,0.0
02673,Hwy 407 Bus Terminal,43.7830465622674,-79.5232260682288,0.0,1.0,0.0,0.0
02672,Dundas St. @ Hwy. 412 Park & Ride,43.8769486590634,-78.9812249498338,0.0,0.0,0.0,0.0
02668,Union Station (UP Express),43.6447330087495,-79.3823285604034,0.0,0.0,0.0,0.0
02661,Renforth Transitway Station,43.662995090205,-79.5911181123626,1.0,1.0,1.0,0.0
02660,Renforth Transitway Station,43.6630754344014,-79.591281189024,1.0,1.0,1.0,0.0
02659,Dixie Transitway Station,43.6300128947218,-79.6146254772841,1.0,0.0,1.0,0.0
02658,Dixie Transitway Station,43.6300478663032,-79.6146878930147,1.0,0.0,1.0,0.0
02655,Hurontario St. @ Fairview Rd.,43.5875907610701,-79.6265046670912,0.0,0.0,0.0,0.0
02654,Hurontario St. @ Elm Dr.,43.5908331882659,-79.6310144279685,0.0,0.0,0.0,0.0
02653,Hwy. 10 @ Buena Vista Dr.,43.9218485290721,-80.0830587693037,0.0,0.0,0.0,0.0
02652,West Harbour GO,43.2660685497468,-79.8659978056508,0.0,1.0,1.0,0.0
02651,Military Trail. @ Pan Am Dr.,43.7877954094493,-79.1904190458541,0.0,0.0,0.0,0.0
02650,Military Trail. @ Pan Am Dr.,43.7878560204119,-79.1908919809448,0.0,0.0,0.0,0.0
02647,Trafalgar Rd. @ Dundas St. E.,43.4877993708847,-79.7192931589981,,,,
02646,Niagara College,43.1524845920884,-79.166533938966,0.0,0.0,0.0,0.0
02645,Main St. @ Baker Hill Blvd.,43.9653991754335,-79.2742792341716,0.0,0.0,0.0,0.0
02644,Main St. @ Ringwood Dr.,43.9650310025184,-79.2749393391483,0.0,0.0,0.0,0.0
02637,Davis Dr. @ Superior St. (Newmarket GO),44.0594444,-79.4590073,0.0,0.0,0.0,0.0
02636,Winston Churchill Transitway Station,43.5417557,-79.7129898,1.0,0.0,1.0,0.0
02635,Winston Churchill Transitway Station,43.5419006,-79.7131805,1.0,0.0,1.0,0.0
02634,Davis Dr. @ Superior St. (Newmarket GO),44.0596123,-79.4592438,0.0,0.0,0.0,0.0
02633,Mountainview Rd. N. @ Maple Ave.,43.6563339,-79.9114151,,,,
02629,Gormley GO,43.9409103,-79.3985214,1.0,1.0,1.0,0.0
02628,Kingston Rd. @ Brock Rd.,43.8478546,-79.0743408,0.0,0.0,0.0,0.0
02627,Brock Rd. S. @ Gilmour Rd.,43.466629,-80.1415634,0.0,0.0,0.0,0.0
02626,Brock Rd. S. @ Gilmour Rd.,43.4668732,-80.1422806,0.0,0.0,0.0,0.0
02621,Ontario St. @ QEW (Beamsville) Park & Ride,43.1881676,-79.4759598,0.0,0.0,0.0,0.0
02620,McMaster Innovation Park,43.2564278,-79.9013138,0.0,0.0,0.0,0.0
02619,McMaster Innovation Park,43.2570114,-79.9015045,0.0,0.0,0.0,0.0
02617,Brantford Bus Terminal,43.1403084,-80.2649918,0.0,0.0,1.0,0.0
02616,Colborne St. E. @ Park Ave.,43.1390533,-80.2543106,0.0,0.0,0.0,0.0
02615,Dalhousie St. @ Park Ave.,43.1400795,-80.2549591,0.0,0.0,0.0,0.0
02614,Colborne St E. @ Kiwanis Way,43.1404762,-80.2400513,0.0,0.0,0.0,0.0
02613,Colborne St. E. @ Puleston St.,43.1405792,-80.2406311,0.0,0.0,0.0,0.0
